table;var;format;description;nomenclature
T_MCOaa_nnC;COH_SEX_RET;char;Code retour contrôle « Cohérence sexe »;-
T_MCOaa_nnC;DAT_RET;char;Code retour contrôle « date de référence» (date d'entrée);-
T_MCOaa_nnC;ENT_DAT;char;Date d'entrée du séjour PMSI;-
T_MCOaa_nnC;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnC;ETA_NUM_RET;char;Code retour contrôle «N° FINESS d’inscription e-PMSI«;-
T_MCOaa_nnC;EXE_SOI_AMD;char;Date d'entrée du séjour PMSI au format année + mois;-
T_MCOaa_nnC;EXE_SOI_AMF;char;Date de sortie du séjour PMSI au format année + mois;-
T_MCOaa_nnC;EXE_SOI_DTD;date;Date d'entrée du séjour PMSI (date);-
T_MCOaa_nnC;EXE_SOI_DTF;date;Date de sortie du séjour PMSI (date);-
T_MCOaa_nnC;FHO_RET;char;Code retour « fusion ANO HOSP et HOSP PMSI »;-
T_MCOaa_nnC;FOR_NUM;char;N° format;-
T_MCOaa_nnC;HOS_NN_MAM;char;Hospitalisation d'un nouveau-né auprès de la mère;-
T_MCOaa_nnC;HOS_NNE_RET;char;Code retour contrôle « Hospitalisation d'un nouveau-né auprès de la mère »;-
T_MCOaa_nnC;HOS_ORG_RET;char;Code retour contrôle « Hospitalisation pour prélèvement d'organe »;-
T_MCOaa_nnC;HOS_PLO;char;Hospitalisation pour prélèvement d'organe;-
T_MCOaa_nnC;NAI_RET;char;Code retour contrôle « date de naissance »;-
T_MCOaa_nnC;NIR_ANO_17;char;N° anonyme;-
T_MCOaa_nnC;NIR_ANO_MAM;char;N° anonyme mère-enfant;-
T_MCOaa_nnC;NIR_RET;char;Code retour contrôle « n° sécurité sociale »;-
T_MCOaa_nnC;NUM_DAT_AT;char;Numéro accident du travail ou date d’accident de droit commun;-
T_MCOaa_nnC;NUM_DAT_AT_RET;Char;Code retour contrôle « Numéro accident du travail ou date d’accident de droit commun«;-
T_MCOaa_nnC;ORG_CPL_NUM;char;N° d’organisme complémentaire;-
T_MCOaa_nnC;ORG_CPL_NUM_RET;char;Code retour contrôle « N° d’organisme complémentaire«;-
T_MCOaa_nnC;PMS_RET;char;Code retour « fusion ANO PMSI et fichier PMSI »;-
T_MCOaa_nnC;RNG_BEN;char;Rang du bénéficiaire ;-
T_MCOaa_nnC;RNG_BEN_RET;char;Code retour contrôle « Rang du bénéficiaire »;-
T_MCOaa_nnC;RNG_NAI;char;Rang de naissance ;-
T_MCOaa_nnC;RNG_NAI_RET;char;Code retour contrôle « Rang de naissance »;-
T_MCOaa_nnC;RSA_NUM;char;N° séquentiel dans fichier PMSI;-
T_MCOaa_nnC;SEJ_MER_RET;char;Code retour contrôle « N° administratif de séjour de la mère »;-
T_MCOaa_nnC;SEJ_NUM;char;N° de séjour;-
T_MCOaa_nnC;SEJ_RET;char;Code retour contrôle « n° d’identification administratif de séjour »;-
T_MCOaa_nnC;SEX_RET;char;Code retour contrôle « sexe »;-
T_MCOaa_nnC;SOR_ANN;char;Année de sortie ;-
T_MCOaa_nnC;SOR_DAT;char;Date de sortie du séjour PMSI;-
T_MCOaa_nnC;SOR_MOI;char;Mois de sortie;-
T_MCOaa_nnC;VID_HOSP_FOR;char;N° format VID-HOSP;-
T_MCOaa_nnD;ASS_DGN;char;Diagnostic associé;-
T_MCOaa_nnD;DGN_ASS_NUM;num;Numero de diag par couple eta_num rsa_num;-
T_MCOaa_nnD;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnD;RSA_NUM;char;N° d'index du RSA ;-
T_MCOaa_nnD;RSS_NUM;char;Numéro de version du format du RSA;-
T_MCOaa_nnDIALP;ANN;char;Année période;-
T_MCOaa_nnDIALP;ETA_NUM;char;N° FINESS;-
T_MCOaa_nnDIALP;ETA_NUM_ENT;char;N° FINESS du fichier d'entrée;-
T_MCOaa_nnDIALP;MOI;char;N° période (mois);-
T_MCOaa_nnDIALP;NBR_PRS;num;Nombre de suppléments DIP;-
T_MCOaa_nnDIALP;PRS_COD;char;Code Prestation;-
T_MCOaa_nnDIALP;PRS_TYP;char;Type de prestation;-
T_MCOaa_nnDIALP;RSA_NUM;char;N° d'index du RSA;-
T_MCOaa_nnDMIP;ANN;char;Année période;-
T_MCOaa_nnDMIP;DAT_POS_ANN;char;Année de la date de pose;-
T_MCOaa_nnDMIP;DELAI;num;Délai entre la date d’entrée du séjour et la date de pose;-
T_MCOaa_nnDMIP;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnDMIP;ETA_NUM_ENT;char;N° FINESS du fichier d'entrée;-
T_MCOaa_nnDMIP;LPP_COD;char;Code LPP (attention blanc devant);-
T_MCOaa_nnDMIP;MOI;char;N° période (mois);-
T_MCOaa_nnDMIP;MOI_POS;char;Mois de la date de pose (si renseginée);-
T_MCOaa_nnDMIP;NBR_POS;num;Nombre posé;-
T_MCOaa_nnDMIP;NBR_POS_PRI;num;Prix d'achat multiplié par le nombre posé;-
T_MCOaa_nnDMIP;PRS_TYP;char;Type de prestation;-
T_MCOaa_nnDMIP;RSA_NUM;char;N° d'index du RSA;-
T_MCOaa_nnDMIP;TIP_PRS_IDE;num;Code LPP (format numérique);-
T_MCOaa_nnE;ANN_TRT;char;N° du trimestre PMSI transmis;-
T_MCOaa_nnE;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnE;ETB_EXE_FIN;char;N°FINESS sans clé;-
T_MCOaa_nnE;REG_ETA;char;Région;-
T_MCOaa_nnE;SOC_RAI;char;Raison sociale;-
T_MCOaa_nnE;STA_ETA;char;Statut de l'établissement;-
T_MCOaa_nnE;VAL_ETA;char;Validation des données;-
T_MCOaa_nnFA;AGE_ANN;num;Age (en années);-
T_MCOaa_nnFA;COD_CIV;char;Code civilité ;-
T_MCOaa_nnFA;COD_PEC;char;Code de prise en charge;-
T_MCOaa_nnFA;COD_SEX;char;Sexe;-
T_MCOaa_nnFA;CON_TYP;char;Type de contrat souscrit auprès d'un organisme complémentaire;-
T_MCOaa_nnFA;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFA;EXO_TM;char;Justification d'exonération du TM;-
T_MCOaa_nnFA;FAC_ETL;char;Etat de liquidation de la facture;-
T_MCOaa_nnFA;GES_COD;char;Code gestion;-
T_MCOaa_nnFA;HON_AM_MNR;num;Total honoraire remboursable AM;-
T_MCOaa_nnFA;HON_MNT;num;Total honoraire Facturé;-
T_MCOaa_nnFA;HON_OC_MNR;num;Total remboursable OC pour les honoraires;-
T_MCOaa_nnFA;NAT_ASS;char;Nature assurance;-
T_MCOaa_nnFA;NIR_ANO_MAM;char;N° anonyme mère-enfant;-
T_MCOaa_nnFA;NOE_RGM;char;Code Gd régime;-
T_MCOaa_nnFA;NUM_DAT_AT;char;Numéro accident du travail ou date d’accident de droit commun;-
T_MCOaa_nnFA;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFA;OPE_NAT;char;Nature opération;-
T_MCOaa_nnFA;ORG_CPL_NUM;char;N° d’organisme complémentaire;-
T_MCOaa_nnFA;PAS_OC_MNT;num;Total participation assuré avant OC;-
T_MCOaa_nnFA;PAT_CMU;char;Patient bénéficiaire de la CMU;-
T_MCOaa_nnFA;PH_AMO_MNR;num;Total remboursable AMO Prestation hospitalières;-
T_MCOaa_nnFA;PH_BRM;num;Total Base Remboursement Prestation hospitalière;-
T_MCOaa_nnFA;PH_MNT;num;Montant total facturé pour  PH;-
T_MCOaa_nnFA;PH_OC_MNR;num;Total remboursable OC pour les PH;-
T_MCOaa_nnFA;RNG_BEN;char;Rang de bénéficiaire;-
T_MCOaa_nnFA;RNG_NAI;char;Rang de naissance;-
T_MCOaa_nnFA;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFA;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFA;SOR_ANN;char;Année de sortie;-
T_MCOaa_nnFA;SOR_MOI;char;Mois de sortie;-
T_MCOaa_nnFA;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFB;ACT_COD;char;Code acte;-
T_MCOaa_nnFB;ACT_COE;num;Coefficient;-
T_MCOaa_nnFB;ACT_NBR;num;Quantité;-
T_MCOaa_nnFB;AMC_MNR;num;Montant remboursable par l'organisme complémentaire (AMC);-
T_MCOaa_nnFB;AMO_MNR;num;Montant Remboursable par la caisse (AMO);-
T_MCOaa_nnFB;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFB;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFB;ETE_GHS_NUM;num;N° GHS (format num);-
T_MCOaa_nnFB;EXO_TM;char;Justification exonération TM;-
T_MCOaa_nnFB;FAC_MNT;num;Montant total de la dépense;-
T_MCOaa_nnFB;FJ_COD_PEC;char;Code de prise en charge FJ;-
T_MCOaa_nnFB;GHS_NUM;char;N° GHS;-
T_MCOaa_nnFB;MCO_COE;num;Coefficient MCO;-
T_MCOaa_nnFB;NOE_MNR;num;Montant remboursé NOEMIE Retour;-
T_MCOaa_nnFB;NOE_OPE;char;Nature opération récupération NOEMIE Retour;-
T_MCOaa_nnFB;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFB;PRI_UNI;num;Prix Unitaire;-
T_MCOaa_nnFB;PSH_DMT;char;Discipline de prestation (ex DMT);-
T_MCOaa_nnFB;PSH_MDT;char;Mode de traitement;-
T_MCOaa_nnFB;REM_BAS;num;Montant Base remboursement;-
T_MCOaa_nnFB;REM_TAU;num;Taux applicable à la prestation;-
T_MCOaa_nnFB;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFB;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFB;SOR_ANN;char;Année de fin de séjour;-
T_MCOaa_nnFB;SOR_MOI;char;Mois de fin de séjour;-
T_MCOaa_nnFB;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFB;TYP_FPI;char;Type de prestation intermédiaire;-
T_MCOaa_nnFC;ACT_COD;char;Code acte;-
T_MCOaa_nnFC;ACT_COE;num;Coefficient;-
T_MCOaa_nnFC;ACT_DNB;num;Dénombrement;-
T_MCOaa_nnFC;ACT_NBR;num;Quantité;-
T_MCOaa_nnFC;AMC_MNR;num;Montant remboursable par AMC;-
T_MCOaa_nnFC;AMO_MNR;num;Montant Remboursable par AMO;-
T_MCOaa_nnFC;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFC;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFC;EXE_SPE;char;Spécialité exécutant;-
T_MCOaa_nnFC;EXO_TM;char;Justification exo TM;-
T_MCOaa_nnFC;HON_MNT;num;Montant des honoraire (dépassement compris);-
T_MCOaa_nnFC;NOE_MNR;num;Montant remboursé NOEMIE Retour;-
T_MCOaa_nnFC;NOE_OPE;char;Nature opération récupération NOEMIE Retour;-
T_MCOaa_nnFC;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFC;PRI_UNI;num;Prix Unitaire;-
T_MCOaa_nnFC;PSH_DMT;char;Discipline de prestation (ex DMT);-
T_MCOaa_nnFC;PSH_MDT;char;Mode de traitement;-
T_MCOaa_nnFC;REM_BAS;num;Montant Base remboursement;-
T_MCOaa_nnFC;REM_TAU;num;Taux Remboursement;-
T_MCOaa_nnFC;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFC;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFC;SOR_ANN;char;Année de l'acte;-
T_MCOaa_nnFC;SOR_MOI;char;Mois de l'acte;-
T_MCOaa_nnFC;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFH;ACH_PRI;num;Prix d'achat unitaire TTC;-
T_MCOaa_nnFH;COD_UCD;char;Code UCD;-
T_MCOaa_nnFH;COE_TAU;num;Coefficient de fractionnement;-
T_MCOaa_nnFH;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFH;ENT_ANN;char;Année début de séjour;-
T_MCOaa_nnFH;ENT_MOI;char;Mois de début de séjour;-
T_MCOaa_nnFH;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFH;FAC_TOT;num;Montant total facturé TTC;-
T_MCOaa_nnFH;MNT_UNI_ECA;num;Montant unitaire de l'écart indemnisable;-
T_MCOaa_nnFH;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFH;QUA_COD;num;Quantité;-
T_MCOaa_nnFH;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFH;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFH;TOT_MNT_ECA;num;Montant total de l'écart indemnisable;-
T_MCOaa_nnFH;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFH;UCD_UCD_COD;char;Code UCD (0 à gauche);-
T_MCOaa_nnFH;COD_LES;char;Code indication des spécialités pharmaceutiques inscrites sur la liste en sus;-
T_MCOaa_nnFI;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFI;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFI;ETB_NUM;char;Etablissement de transfert ou de retour ou lieu d'exécution de l'acte;-
T_MCOaa_nnFI;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFI;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFI;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFI;SEJ_FIN;char;Nature d'interruption ou de fin de séjour;-
T_MCOaa_nnFI;SOR_ANN;char;Année de fin de séjour;-
T_MCOaa_nnFI;SOR_MOI;char;Mois de fin de séjour;-
T_MCOaa_nnFI;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFL;ACT_NBR;num;Quantité acte;-
T_MCOaa_nnFL;ANN_MOI;char;Mois et année;-
T_MCOaa_nnFL;DEL_DAT_ENT;num;délai par rapport à la date d'entrée;-
T_MCOaa_nnFL;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFL;NABM_COD;char;Code acte;-
T_MCOaa_nnFL;NUM_FAC;char;N° Facture séquentiel;-
T_MCOaa_nnFL;PSH_DMT;char;Discipline de prestation (ex DMT);-
T_MCOaa_nnFL;PSH_MDT;char;Mode de traitement;-
T_MCOaa_nnFL;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFL;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFL;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFM;ACV_ACT;char;Activité;-
T_MCOaa_nnFM;ANP_ACT;char;Association non prévue;-
T_MCOaa_nnFM;CCAM_COD;char;Code CCAM;-
T_MCOaa_nnFM;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFM;DENT_NUM_1;char;N° dent 1;-
T_MCOaa_nnFM;DENT_NUM_10;char;N° dent 10;-
T_MCOaa_nnFM;DENT_NUM_11;char;N° dent 11;-
T_MCOaa_nnFM;DENT_NUM_12;char;N° dent 12;-
T_MCOaa_nnFM;DENT_NUM_13;char;N° dent 13;-
T_MCOaa_nnFM;DENT_NUM_14;char;N° dent 14;-
T_MCOaa_nnFM;DENT_NUM_15;char;N° dent 15;-
T_MCOaa_nnFM;DENT_NUM_16;char;N° dent 16;-
T_MCOaa_nnFM;DENT_NUM_2;char;N° dent 2;-
T_MCOaa_nnFM;DENT_NUM_3;char;N° dent 3;-
T_MCOaa_nnFM;DENT_NUM_4;char;N° dent 4;-
T_MCOaa_nnFM;DENT_NUM_5;char;N° dent 5;-
T_MCOaa_nnFM;DENT_NUM_6;char;N° dent 6;-
T_MCOaa_nnFM;DENT_NUM_7;char;N° dent 7;-
T_MCOaa_nnFM;DENT_NUM_8;char;N° dent 8;-
T_MCOaa_nnFM;DENT_NUM_9;char;N° dent 9;-
T_MCOaa_nnFM;DOC_ACT;char;Extension documentaire;-
T_MCOaa_nnFM;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFM;EXT_PMSI;char;Extension PMSI;-
T_MCOaa_nnFM;MOD_ACT1;char;Modificateur 1;-
T_MCOaa_nnFM;MOD_ACT2;char;Modificateur 2;-
T_MCOaa_nnFM;MOD_ACT3;char;Modificateur 3;-
T_MCOaa_nnFM;MOD_ACT4;char;Modificateur 4;-
T_MCOaa_nnFM;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFM;PHA_ACT;char;Phase;-
T_MCOaa_nnFM;PSH_DMT;char;Discipline de prestation (ex DMT);-
T_MCOaa_nnFM;PSH_MDT;char;Mode de traitement;-
T_MCOaa_nnFM;REM_EXP_ACT;char;Code remboursement exceptionnel;-
T_MCOaa_nnFM;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFM;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFM;SOR_ANN;char;Année de l'acte;-
T_MCOaa_nnFM;SOR_MOI;char;Mois de l'acte;-
T_MCOaa_nnFM;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnFP;DEL_DAT_ENT;num;Délai par rapport à la date d'entrée;-
T_MCOaa_nnFP;ENT_ANN;char;Année début de séjour;-
T_MCOaa_nnFP;ENT_MOI;char;Mois de début de séjour;-
T_MCOaa_nnFP;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnFP;FAC_MNT;num;Montant total facturé;-
T_MCOaa_nnFP;LPP_COD;char;Code référence LPP;-
T_MCOaa_nnFP;LPP_PRI_UNI;num;Prix d'achat unitaire;-
T_MCOaa_nnFP;LPP_PU_DEV;num;Tarif référence LPP/ Prix Unitaire sur devis;-
T_MCOaa_nnFP;LPP_QUA;num;Quantité;-
T_MCOaa_nnFP;MNT_UNI_ECA;num;Montant unitaire de l'écart indemnisable;-
T_MCOaa_nnFP;NUM_FAC;char;N° séquentiel de facture;-
T_MCOaa_nnFP;RSA_NUM;char; N° séquentiel (le même que pour les RSA);-
T_MCOaa_nnFP;RSF_TYP;char;Type de format RSF (1 : ancien, 2 : nouveau);-
T_MCOaa_nnFP;TIP_PRS_IDE;num;Code référence LPP (format numérique);-
T_MCOaa_nnFP;TOT_MNT_ECA;num;Montant total de l'écart indemnisable;-
T_MCOaa_nnFP;TYP_ART;char;Type d'enregistrement;-
T_MCOaa_nnGV2018;ETA_NUM;char;Numéro FINESS e-PMSI;-
T_MCOaa_nnGV2018;ETE_GHS_NUM;num;Regroupage en GHS (format numérique de GHS_NUM);-
T_MCOaa_nnGV2018;GHM_NUM;char;Regroupage en GHM;-
T_MCOaa_nnGV2018;GHS_NUM;char;Regroupage en GHS (utilisé pour la valorisation);-
T_MCOaa_nnGV2018;GHS_THEO;char;Regroupage en GHS (GHS correspond au GHM);-
T_MCOaa_nnGV2018;RSA_NUM;char;N° d'index du RSA ;-
T_MCOaa_nnIVG;ANN;char;Année période;-
T_MCOaa_nnIVG;ANN_IVG_PREC;char;Année de la dernière IVG;-
T_MCOaa_nnIVG;ETA_NUM;char;N° FINESS e-PMSI;-
T_MCOaa_nnIVG;ETA_NUM_ENT;char;N° FINESS du fichier d'entrée;-
T_MCOaa_nnIVG;MOI;char;N° période (mois);-
T_MCOaa_nnIVG;NBR_IVG_ANT;num;Nombre d'IVG antérieures;-
T_MCOaa_nnIVG;NBR_NAIS_ANT;num;Nombre de naissances vivantes antérieures;-
T_MCOaa_nnIVG;PRS_TYP;char;Type de prestation;-
T_MCOaa_nnIVG;RSA_NUM;char;N° d'index du RSA;-
T_MCOaa_nnIVG;SOR_ANN;char;Année du séjour;-
T_MCOaa_nnIVG;SOR_MOI;char;Mois du séjour;-
T_MCOaa_nnMED;ADM_MOIS;char;Mois de la date d'administration;-
T_MCOaa_nnMED;ADM_NBR;num;Nombre administré éventuellement fractionnaire;-
T_MCOaa_nnMED;ADM_NBR_PRI;num;Prix d'achat multiplié par le nombre administré;-
T_MCOaa_nnMED;ANN;char;Année période;-
T_MCOaa_nnMED;DAT_ADM_ANN;char;Année de la date d'administration;-
T_MCOaa_nnMED;DELAI;num;Délai entre la date d’entrée du séjour et la date de dispensation;-
T_MCOaa_nnMED;ETA_NUM;char;N° FINESS e-PMSI;-
T_MCOaa_nnMED;ETA_NUM_ENT;char;N° FINESS du fichier d'entrée;-
T_MCOaa_nnMED;INI_VAL_PRS;char;Validation initiale de la prescription par un centre de référence ou de compétence;-
